Hysteresis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Executed Version,5.44.0,,,,,,
Vision Version,5.44.0 (R),,,,,,
Vision Compiled,2023-07-18 00:00:00,,,,,,
Driver Version,5.44.0,,,,,,
Windows Version,"Windows 8, 8.1 or 10",,,,,,
Processor Information,x86 (AMD or Intel) - 8 Processors,,,,,,
Tester Name,PPM20121-917 (10V),,,,,,
Tester S/N,PPM20121-917,,,,,,
Internal Amp Type,Internal TIB ,,,,,,
Internal Amp Serial,  iAB-TIB ,,,,,,
Execution Count,6669,,,,,,
Excel Date,10/18/2023 - 16:37:30,,,,,,
Configuration Date,2023-10-05 15:23:48,,,,,,
Execution Date,2023-10-08 17:50:24,,,,,,
,,,,,,,
Sample Info.,,,,,,,
Sample Name,Int. Ref. Ferroelectric,,,,,,
Lot Name,,,,,,,
Wafer Name,,,,,,,
Die Row/Column, 0/0,,,,,,
Capacitor ID,0,,,,,,
Area (cm2),0.000025,,,,,,
Thickness (µm),0.01,,,,,,
,,,,,,,
Amplifier,Internal,,,,,,
,,,,,,,
Tester Info,,,,,,,
92,0.0091,-0.668587331,-24.03070118,9.501905835,380076.2334,0.107421775,0.232958789
93,0.0092,-0.551167085,-23.00234948,9.204971277,368198.8511,0.104064844,0.225678827
94,0.0093,-0.502548387,-22.64444761,9.650373113,386014.9245,0.10910024,0.23659877
95,0.0094,-0.388276498,-21.69022463,8.165700327,326628.0131,0.092315588,0.200198959
96,0.0095,-0.302116242,-20.81472417,10.09577495,403830.998,0.114135636,0.247518713
97,0.0096,-0.142967938,-20.35243828,8.165700327,326628.0131,0.092315588,0.200198959
98,0.0097,-0.072961712,-18.91914286,9.947307671,397892.3068,0.11245717,0.243878732
99,0.0098,0.055854778,-18.14531002,9.056503999,362260.16,0.102386379,0.222038846
100,0.0099,0.113107922,-17.15746964,7.720298491,308811.9396,0.087280192,0.189279016
101,0.01,0.128979159,-16.80053803,7.720298491,308811.9396,0.087280192,0.127399338
,,,,,,,
"Center data before PMax, ±Pr and ±Vc Calc.",,,,,,,
,,,,,,,
PMax (µC/cm2),37.90676296,,,,,,
Pr (µC/cm2),13.25316839,,,,,,
 -Pr (µC/cm2),-18.2945449,,,,,,
,,,,,,,
 PLoss (µC/cm2),-18.2945449,,,,,,
Vc,1.545378544,,,,,,
-Vc,,,,,,,
CMax-Eff (nF),0.385231331,,,,,,
KEff,174.2060339,,,,,,
Offset (µC/cm2),17.91598687,,,,,,
Vert. (±Pr) Shift (µC/cm2),-2.520688256,,,,,,
Horiz. Shift (±Vc),0.571972459,,,,,,
,,,,,,,
A (Loop Area - µC/cm2·Volts),76.40284698,,,,,,
,,,,,,,
"Hysteresis Version: 5.44.0 - Radiant Technologies, Inc., 1999 - 7/18/23",,,,,,,
